id,olsera_product_id,name,sku,category,price,stock,image_url,description,has_variant,parent_id,parent_name,is_variant
39527707,39527707,LIQUID SALTNIC FOOM ICY PINEAPPLE 30ML - 30MG,0407240013,Others,110000,2,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73519845,LIQUID SALTNIC FOOM ICY PINEAPPLE 30ML,YES
39527706,39527706,LIQUID SALTNIC FOOM ICY GRAPE 30ML - 30MG,0407240012,Others,110000,5,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73519844,LIQUID SALTNIC FOOM ICY GRAPE 30ML,YES
39527705,39527705,LIQUID SALTNIC FOOM ICY LYCHEE 30ML - 30MG,0407240011,Others,110000,4,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73519843,LIQUID SALTNIC FOOM ICY LYCHEE 30ML,YES
39527704,39527704,LIQUID SALTNIC FOOM ICY STRAWBERRY 30ML - 30MG,0407240010,Others,110000,2,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73519842,LIQUID SALTNIC FOOM ICY STRAWBERRY 30ML,YES
39368024,39368024,LIQUID FREEBASE MIRU SIGNATURE RABBIT KRUNCH 60ML - 3MG,2906240017,Others,110000,1,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73151779,LIQUID FREEBASE MIRU SIGNATURE RABBIT KRUNCH 60ML,YES
39368022,39368022,LIQUID FREEBASE MIRU SIGNATURE PINK RABBIT 60ML - 3MG,2804250001,Others,115000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73151778,LIQUID FREEBASE MIRU SIGNATURE PINK RABBIT 60ML,YES
39368023,39368023,LIQUID FREEBASE MIRU SIGNATURE PINK RABBIT 60ML - 6MG,2804250002,Others,115000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73151778,LIQUID FREEBASE MIRU SIGNATURE PINK RABBIT 60ML,YES
39368018,39368018,LIQUID FREEBASE BAD FELLAS RAISIN CREAMCHEESE 60ML - 3MG,2906240011,Others,150000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73151776,LIQUID FREEBASE BAD FELLAS RAISIN CREAMCHEESE 60ML,YES
39368019,39368019,LIQUID FREEBASE BAD FELLAS RAISIN CREAMCHEESE 60ML - 6MG,2906240012,Others,150000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,73151776,LIQUID FREEBASE BAD FELLAS RAISIN CREAMCHEESE 60ML,YES
39173319,39173319,LIQUID FREEBASE TANSU IBUKOTA KETAN SUSU MATCHA 60ML - 3MG,2306240001,Others,125000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,72785745,LIQUID FREEBASE TANSU IBUKOTA KETAN SUSU MATCHA 60ML,YES
39173320,39173320,LIQUID FREEBASE TANSU IBUKOTA KETAN SUSU MATCHA 60ML - 6MG,2306240002,Others,125000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,72785745,LIQUID FREEBASE TANSU IBUKOTA KETAN SUSU MATCHA 60ML,YES
38760296,38760296,LIQUID PODS FRIENDLY TANSU IBUKOTA KETAN SUSU 30ML - 10MG,0806240026,Others,95000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,71808532,LIQUID PODS FRIENDLY TANSU IBUKOTA KETAN SUSU 30ML,YES
38760284,38760284,LIQUID SALTNIC FOOM DESSERT MAAD CREAMCHILL AVOCADO SHAKE 30ML - 30MG,0806240015,Others,110000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,71808463,LIQUID SALTNIC FOOM DESSERT MAAD CREAMCHILL AVOCADO SHAKE 30ML,YES
38760283,38760283,LIQUID SALTNIC FOOM DESSERT MAAD CREAMCHILL CORN ICE CREAM 30ML - 30MG,0806240014,Others,110000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,71808462,LIQUID SALTNIC FOOM DESSERT MAAD CREAMCHILL CORN ICE CREAM 30ML,YES
38760276,38760276,LIQUID PODS FRIENDLY THE O RAMA JUICE V1 KAYA TOAST 30ML - 15MG,0806240007,Others,95000,0,https://api-dash.olsera.co.id/img/no_data_item.png,,1,71808457,LIQUID PODS FRIENDLY THE O RAMA JUICE V1 KAYA TOAST 30ML,YES
71761730,71761730,BATTERY AWT 18650 2400MAH 40A,0706240001,Others,65000,6,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6664320b38d8d.jpeg,,0,71761730,BATTERY AWT 18650 2400MAH 40A,NO
71431521,71431521,POD OXVA XLIM GO WHITE,0206240010,Others,200000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_665d98bbc4210.jpeg,,0,71431521,POD OXVA XLIM GO WHITE,NO
71431520,71431520,POD OXVA XLIM GO RED,0206240009,Others,200000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_665d98ca62401.jpeg,,0,71431520,POD OXVA XLIM GO RED,NO
71431519,71431519,POD OXVA XLIM GO PINK,0206240008,Others,200000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_665d98d690f03.jpeg,,0,71431519,POD OXVA XLIM GO PINK,NO
71431518,71431518,POD OXVA XLIM GO LIGHT GREEN,0206240007,Others,200000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_665d98e4e5a35.jpeg,,0,71431518,POD OXVA XLIM GO LIGHT GREEN,NO
71431517,71431517,POD OXVA XLIM GO LIGHT BROWN,0206240006,Others,200000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_682c16bd4a27e.jpeg,,0,71431517,POD OXVA XLIM GO LIGHT BROWN,NO
71431516,71431516,POD OXVA XLIM GO DARK GREY,0206240005,Others,200000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_665da5c4f04a5.jpeg,,0,71431516,POD OXVA XLIM GO DARK GREY,NO
71431515,71431515,POD OXVA XLIM GO DARK BROWN,0206240004,Others,200000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_665da5d4092b4.jpeg,,0,71431515,POD OXVA XLIM GO DARK BROWN,NO
71431514,71431514,POD OXVA XLIM GO BLACK,0206240003,Others,200000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_665da627b67f8.jpeg,,0,71431514,POD OXVA XLIM GO BLACK,NO
71192065,71192065,POD URSA CAP SOLO CHAM,2905240033,Others,140000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6656fab5cd4e0.jpeg,,0,71192065,POD URSA CAP SOLO CHAM,NO
71192064,71192064,POD URSA CAP PINK CARNIVAL,2905240032,Others,140000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6656fac889e9e.jpeg,,0,71192064,POD URSA CAP PINK CARNIVAL,NO
71192063,71192063,POD URSA CAP PEARL WHITE,2905240031,Others,140000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6656faf247e92.jpeg,,0,71192063,POD URSA CAP PEARL WHITE,NO
71192062,71192062,POD URSA CAP MINT GREEN,2905240030,Others,140000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6656fb02abcba.jpeg,,0,71192062,POD URSA CAP MINT GREEN,NO
71192061,71192061,POD URSA CAP JOY PURPLE,2905240029,Others,140000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6656fb19db1b9.jpeg,,0,71192061,POD URSA CAP JOY PURPLE,NO
71192060,71192060,POD URSA CAP INFINITY BLACK,2905240028,Others,140000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6656fb379187c.jpeg,,0,71192060,POD URSA CAP INFINITY BLACK,NO
