id,olsera_product_id,parent_id,parent_name,name,sku,category,brand_name,klasifikasi,price,buy_price,stock,image_url,description,published,pos_hidden,has_variant,is_variant,variant_name,variant_sku,variant_stock,variant_price
51397104,51397104,92260204,LIQUID FREEBASE JUICENATION A LA CARTE CREAM BISCUIT 60ML,LIQUID FREEBASE JUICENATION A LA CARTE CREAM BISCUIT 60ML - 6MG,0306250010,Others,,NP FREEBASE,150000,122500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af2fad9851.jpeg,,1,0,1,YES,6MG,0306250010,0,150000
50136571,50136571,92260203,LIQUID FREEBASE VAPEZOO LUNAR BANANA ICE CREAM 60ML,LIQUID FREEBASE VAPEZOO LUNAR BANANA ICE CREAM 60ML - 3MG,0605250012,Others,,NP FREEBASE,160000,130000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af23b586cf.jpeg,,1,0,1,YES,3MG,0605250012,0,160000
50136572,50136572,92260203,LIQUID FREEBASE VAPEZOO LUNAR BANANA ICE CREAM 60ML,LIQUID FREEBASE VAPEZOO LUNAR BANANA ICE CREAM 60ML - 6MG,0605250013,Others,,NP FREEBASE,160000,130000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af23b586cf.jpeg,,1,0,1,YES,6MG,0605250013,0,160000
50136570,50136570,92260202,LIQUID PODS FRIENDLY CREAMYNESIA MONSTER CHEESE 30ML,LIQUID PODS FRIENDLY CREAMYNESIA MONSTER CHEESE 30ML - 12MG,0605250011,Others,,NP PODS FRIENDLY,85000,67500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af2218dbf6.jpeg,,1,0,1,YES,12MG,0605250011,0,85000
50136568,50136568,92260201,LIQUID FREEBASE HAPPI KRUNCH MILKY MELON 60ML,LIQUID FREEBASE HAPPI KRUNCH MILKY MELON 60ML - 3MG,0605250009,Others,,NP FREEBASE,155000,125000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af20b8917f.jpeg,,1,0,1,YES,3MG,0605250009,0,155000
50136569,50136569,92260201,LIQUID FREEBASE HAPPI KRUNCH MILKY MELON 60ML,LIQUID FREEBASE HAPPI KRUNCH MILKY MELON 60ML - 6MG,0605250010,Others,,NP FREEBASE,155000,125000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af20b8917f.jpeg,,1,0,1,YES,6MG,0605250010,0,155000
50136566,50136566,92260200,LIQUID FREEBASE HAPPI KRUNCH MILKY MANGO 60ML,LIQUID FREEBASE HAPPI KRUNCH MILKY MANGO 60ML - 3MG,0605250007,Others,,NP FREEBASE,155000,125000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af1f9d08a9.jpeg,,1,0,1,YES,3MG,0605250007,0,155000
50136567,50136567,92260200,LIQUID FREEBASE HAPPI KRUNCH MILKY MANGO 60ML,LIQUID FREEBASE HAPPI KRUNCH MILKY MANGO 60ML - 6MG,0605250008,Others,,NP FREEBASE,155000,125000,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af1f9d08a9.jpeg,,1,0,1,YES,6MG,0605250008,1,155000
50136564,50136564,92260199,LIQUID FREEBASE AMERICAN DESSERT V3 MILK CHEESE TARO 60ML,LIQUID FREEBASE AMERICAN DESSERT V3 MILK CHEESE TARO 60ML - 3MG,0605250005,Others,,NP FREEBASE,155000,125000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af1e3caaea.jpeg,,1,0,1,YES,3MG,0605250005,0,155000
50136565,50136565,92260199,LIQUID FREEBASE AMERICAN DESSERT V3 MILK CHEESE TARO 60ML,LIQUID FREEBASE AMERICAN DESSERT V3 MILK CHEESE TARO 60ML - 6MG,0605250006,Others,,NP FREEBASE,155000,125000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af1e3caaea.jpeg,,1,0,1,YES,6MG,0605250006,0,155000
50136563,50136563,92260198,LIQUID SALTNIC JUICENATION BUAQITA STRAWBERRY ICE CREAM 30ML,LIQUID SALTNIC JUICENATION BUAQITA STRAWBERRY ICE CREAM 30ML - 30MG,0605250004,Others,,NP SALTNIC,110000,87500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af1c9e1dab.jpeg,,1,0,1,YES,30MG,0605250004,0,110000
50136562,50136562,92260197,LIQUID SALTNIC JUICENATION BUAQITA MELON ICE CREAM 30ML,LIQUID SALTNIC JUICENATION BUAQITA MELON ICE CREAM 30ML - 30MG,0605250003,Others,,NP SALTNIC,110000,87500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681af1aac1d4f.jpeg,,1,0,1,YES,30MG,0605250003,0,110000
50136561,50136561,92260195,LIQUID SALTNIC JUICENATION BUAQITA BLUEBERRY ICE CREAM 30ML,LIQUID SALTNIC JUICENATION BUAQITA BLUEBERRY ICE CREAM 30ML - 30MG,0605250002,Others,,NP SALTNIC,110000,87500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681aec684a5fc.jpeg,,1,0,1,YES,30MG,0605250002,0,110000
50136560,50136560,92260194,LIQUID FREEBASE OAT DRIPS V1 OAT MILK 60ML,LIQUID FREEBASE OAT DRIPS V1 OAT MILK 60ML - 6MG,0605250001,Others,,NP FREEBASE,155000,127500,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681aec46a00bf.jpeg,,1,0,1,YES,6MG,0605250001,1,155000
55723226,55723226,92260194,LIQUID FREEBASE OAT DRIPS V1 OAT MILK 60ML,LIQUID FREEBASE OAT DRIPS V1 OAT MILK 60ML - 3MG,0210250003,Others,,NP FREEBASE,155000,127500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_681aec46a00bf.jpeg,,1,0,1,YES,3MG,0210250003,0,155000
91715652,91715652,91715652,POD OXVA XLIM PRO 2 TREASURE HUNT PIRATE HUNTER,POD OXVA XLIM PRO 2 TREASURE HUNT PIRATE HUNTER,2804250015,Others,,POD,325000,285000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109eee855c9.jpeg,,1,0,0,NO,,,0,0
91715651,91715651,91715651,POD OXVA XLIM PRO 2 TREASURE HUNT NIKA WHITE,POD OXVA XLIM PRO 2 TREASURE HUNT NIKA WHITE,2804250014,Others,,POD,325000,285000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109ed34d885.jpeg,,1,0,0,NO,,,0,0
91715650,91715650,91715650,POD LOST VAPE CENTAURUS E40 WATT APEX SPIRIT,POD LOST VAPE CENTAURUS E40 WATT APEX SPIRIT,2804250013,Others,,POD,300000,255000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68134d5642970.jpeg,,1,0,0,NO,,,0,0
91715649,91715649,91715649,POD LOST VAPE THELEMA ELITE 40 WATT JRDN EDITION WHITE,POD LOST VAPE THELEMA ELITE 40 WATT JRDN EDITION WHITE,2804250012,Others,,POD,300000,250000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109ebc43461.jpeg,,1,0,0,NO,,,0,0
91715648,91715648,91715648,POD LOST VAPE THELEMA ELITE 40 WATT JRDN EDITION BLACK,POD LOST VAPE THELEMA ELITE 40 WATT JRDN EDITION BLACK,2804250011,Others,,POD,300000,250000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109ea4c944f.jpeg,,1,0,0,NO,,,0,0
49832071,49832071,91715647,LIQUID FREEBASE UNA STRAWBERRY CHEESECAKE 60ML,LIQUID FREEBASE UNA STRAWBERRY CHEESECAKE 60ML - 3MG,2804250009,Others,,NP FREEBASE,150000,127500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109e6f48307.jpeg,,1,0,1,YES,3MG,2804250009,0,150000
49832072,49832072,91715647,LIQUID FREEBASE UNA STRAWBERRY CHEESECAKE 60ML,LIQUID FREEBASE UNA STRAWBERRY CHEESECAKE 60ML - 6MG,2804250010,Others,,NP FREEBASE,150000,127500,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109e6f48307.jpeg,,1,0,1,YES,6MG,2804250010,1,150000
49832070,49832070,91715646,LIQUID FREEBASE CAP PANDA TARO MONTOQ 60ML,LIQUID FREEBASE CAP PANDA TARO MONTOQ 60ML - 3MG,2804250008,Others,,NP FREEBASE,150000,115000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109d9cd034d.jpeg,,1,0,1,YES,3MG,2804250008,0,150000
49832069,49832069,91715645,LIQUID FREEBASE THE O RAMA JUICE V1 KAYA TOAST 60ML,LIQUID FREEBASE THE O RAMA JUICE V1 KAYA TOAST 60ML - 6MG,2804250007,Others,,NP FREEBASE,155000,125000,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6821f4072d5d9.jpeg,,1,0,1,YES,6MG,2804250007,1,155000
49832068,49832068,91715644,LIQUID SALTNIC BEQU LIGHTS V1 STRAWBERRY HONEYDEW 30ML,LIQUID SALTNIC BEQU LIGHTS V1 STRAWBERRY HONEYDEW 30ML - 12MG,2804250006,Others,,NP SALTNIC,110000,87500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109d4a57ba9.jpeg,,1,0,1,YES,12MG,2804250006,0,110000
49832066,49832066,91715643,LIQUID FREEBASE NIKMAT V2 BLUEBERRY ROLLS PASTRY 60ML,LIQUID FREEBASE NIKMAT V2 BLUEBERRY ROLLS PASTRY 60ML - 3MG,2804250003,Others,,NP FREEBASE,145000,122500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109d13863c7.jpeg,,1,0,1,YES,3MG,2804250003,0,145000
49832067,49832067,91715643,LIQUID FREEBASE NIKMAT V2 BLUEBERRY ROLLS PASTRY 60ML,LIQUID FREEBASE NIKMAT V2 BLUEBERRY ROLLS PASTRY 60ML - 6MG,2804250004,Others,,NP FREEBASE,145000,122500,3,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68109d13863c7.jpeg,,1,0,1,YES,6MG,2804250004,3,145000
49588771,49588771,91241249,LIQUID SALTNIC MOVE JUICE ICELAND APPLE 30ML,LIQUID SALTNIC MOVE JUICE ICELAND APPLE 30ML - 30MG,2004250013,Others,,NP SALTNIC,100000,77500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804bfc572965.jpeg,,1,0,1,YES,30MG,2004250013,0,100000
49588770,49588770,91241248,LIQUID SALTNIC MOVE JUICE ICELAND LYCHEE 30ML,LIQUID SALTNIC MOVE JUICE ICELAND LYCHEE 30ML - 30MG,2004250012,Others,,NP SALTNIC,100000,77500,4,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804bfe5ad1fe.jpeg,,1,0,1,YES,30MG,2004250012,4,100000
49588769,49588769,91241247,LIQUID SALTNIC MOVE JUICE ICELAND GUAVA 30ML,LIQUID SALTNIC MOVE JUICE ICELAND GUAVA 30ML - 30MG,2004250011,Others,,NP SALTNIC,100000,77500,2,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804c1bfa8f98.jpeg,,1,0,1,YES,30MG,2004250011,2,100000
49588767,49588767,91241246,LIQUID FREEBASE VAPEZOO TOKYO WAFER TARO 60ML,LIQUID FREEBASE VAPEZOO TOKYO WAFER TARO 60ML - 3MG,2004250009,Others,,NP FREEBASE,160000,130000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804c02de8410.jpeg,,1,0,1,YES,3MG,2004250009,0,160000
49588768,49588768,91241246,LIQUID FREEBASE VAPEZOO TOKYO WAFER TARO 60ML,LIQUID FREEBASE VAPEZOO TOKYO WAFER TARO 60ML - 6MG,2004250010,Others,,NP FREEBASE,160000,130000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804c02de8410.jpeg,,1,0,1,YES,6MG,2004250010,0,160000
49588764,49588764,91241245,LIQUID SALTNIC JUICENATION BUAQITA SOURSOP 30ML,LIQUID SALTNIC JUICENATION BUAQITA SOURSOP 30ML - 30MG,2004250008,Others,,NP SALTNIC,110000,87500,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804c04cf066b.jpeg,,1,0,1,YES,30MG,2004250008,0,110000
49588762,49588762,91241244,LIQUID SALTNIC JUICENATION BUAQITA V2 BLACKCURRANT 30ML,LIQUID SALTNIC JUICENATION BUAQITA V2 BLACKCURRANT 30ML - 30MG,2004250007,Others,,NP SALTNIC,110000,87500,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804c0e5e004c.jpeg,,1,0,1,YES,30MG,2004250007,1,110000
49588761,49588761,91241243,LIQUID SALTNIC JUICENATION BUAQITA APPLE 30ML,LIQUID SALTNIC JUICENATION BUAQITA APPLE 30ML - 30MG,2004250006,Others,,NP SALTNIC,110000,87500,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804c0ffa85bf.jpeg,,1,0,1,YES,30MG,2004250006,1,110000
49588756,49588756,91241239,LIQUID FREEBASE VAPEZOO LUNAR DONUT BLUEBERRY 60ML,LIQUID FREEBASE VAPEZOO LUNAR DONUT BLUEBERRY 60ML - 3MG,2004250001,Others,,NP FREEBASE,160000,130000,0,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6804c1a2263cc.jpeg,,1,0,1,YES,3MG,2004250001,0,160000
